id,id2,txt
39,$001,Ataque derrotado por piratas da Liga Inquieta ao navio do Brennan. Chegada ao porto de Stros M'kai. Tobias disse para nos encontrarmos no Dragin' Tale.
40,$002,Aceita a missão de Kotaro de entregar o amuleto ao Governador Richton em nome de N'gasta. Recolha o amuleto de N'gasta. Pagado 100 de ouro; recolher o saldo de 200 de ouro de Kotaro após a entrega.
41,$003,Kotaro diz Draggin' Tale na praça da cidade; segue as rampas para cima.
42,$004,Tobias diz que você deve visitar o irmão Nidal no templo para saber mais sobre Iszara.
43,$005,Tobias diz que vai partir de Stros M'kai ao anoitecer para evitar o risco de prisão imperial.
44,$006,Tobias suspeita do Richton no desaparecimento de Iszara.
45,$007,"Tobias diz que a sua amiga Siona, nas docas, pode ajudar-nos com informações sobre os Crown."
46,$008,O Dreekius diz que a Capitã Brennan está à minha procura.
47,$009,"Dreekius diz que um bêbado bretão, Crendal, se gabou de ter um pedaço de mapa do lendário frasco de Lillandril."
48,$010,Dreekius acredita que um dragão guarda a alma-gem num tesouro secreto nas catacumbas. Dreekius diz que uma ponta de arma assada em fogo de dragão atravessará um dragão como nenhuma outra.
49,$011,O Crendal diz que tem um pedaço do mapa do frasco de Lillandril.
50,$012,"Trithik só se lembra que o seu pedaço do mapa do frasco de Lillandril tinha dois números, um X e a anotação árvore longa."
51,$013,"Trithik diz que costumava ter um pedaço do mapa do frasco de Lillandril, mas que ele foi roubado há várias semanas."
52,$014,A Siona disse que o Capitão Brennan quer ver-me.
53,$015,Aceitou a missão de N'gasta de entregar um amuleto ao governador Richton. Amuleto recebido. N'Gasta dispôs que um intermediário anónimo pagasse quando a tarefa fosse cumprida.
54,$016,"Favis diz que o sino está partido, ou que não soa tão alto como antes."
55,$017,Pagado pelo Kotaro pela entrega do amuleto.
